name,categories,images,rating,price,description,created_at,updated_at
Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud...,"[""Fashion""]",https://m.media-amazon.com/images/I/914BVlcXuAL._AC_UL320_.jpg,4.1,44482,"A set of 6 illustrated books designed to introduce phonics to young children, helping them build strong reading skills through engaging stories.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Brado Jewellery Multi Wearing Heart Necklace 4 Heart Magnetic Rose Gold Necklace Pendant Heart Toggle Necklace Diamond Wom...,"[""Fashion""]",https://m.media-amazon.com/images/I/51R3cy1wVmL._AC_UL320_.jpg,4.1,185155,"A stylish multi-wearing heart necklace with a unique magnetic closure, crafted in rose gold for a sophisticated and elegant look.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Skybags Brat Black 46 Cms Casual Backpack,"[""Fashion""]",https://m.media-amazon.com/images/I/810s53kR8tL._AC_UL320_.jpg,4.1,389214,"A compact and trendy backpack from Skybags, featuring a lightweight design and multiple compartments for organized storage.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Amazon Brand - Solimo 3 Ply Toilet Paper/Tissue Roll - 12 Rolls (160 Pulls Per Roll),"[""Fashion""]",https://m.media-amazon.com/images/I/71m-Gpu0spL._AC_UL320_.jpg,4.2,64869,"Soft and highly absorbent 3-ply toilet paper rolls from Solimo, offering 160 pulls per roll for a comfortable and hygienic experience.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
NAPA HIDE Tan Crunch Leather Wallet for Men,"[""Fashion""]",https://m.media-amazon.com/images/I/713Ny9d0LLL._AC_UL320_.jpg,3.9,277825,"A premium leather wallet designed for men, featuring a tan crunch finish with multiple card slots and compartments for cash storage.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Polyester Bag, Lightweight Backpack Bag Handbag Home Storage Tool for Birthdays(AA801)","[""Fashion""]",https://m.media-amazon.com/images/I/61P2DTCtSEL._AC_UL320_.jpg,,1000651,"A lightweight and spacious polyester backpack, ideal for casual use, travel, or home storage needs.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"[""Fashion""]",https://m.media-amazon.com/images/I/71SxUzhnLvL._AC_UL320_.jpg,4.3,425355,"A powerful 1440-watt steam iron from Philips, equipped with a spray function and non-stick soleplate for effortless ironing.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,"[""Fashion""]",https://m.media-amazon.com/images/I/81nj6IlZpVL._AC_UL320_.jpg,3.8,333427,"A classic analog wristwatch for men, featuring a day-date function and stainless steel strap for a refined look.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","[""Fashion""]",https://m.media-amazon.com/images/I/71XWX3Kz0QL._AC_UL320_.jpg,4.4,23168,"A fun and engaging jumbo coloring book designed for young kids, featuring creative activities and illustrations to spark imagination.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vi...","[""Fashion""]",https://m.media-amazon.com/images/I/71t9JRry+3L._AC_UL320_.jpg,4.3,56529,"A gentle and hydrating face cleanser from Cetaphil, formulated with niacinamide and vitamin B5 for dry to normal, sensitive skin.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"[""Fashion""]",https://m.media-amazon.com/images/I/61en24Ik00L._AC_UL320_.jpg,4.2,277825,"A compact and accurate digital luggage weighing scale from Boldfit, capable of measuring up to 50 kg for hassle-free travel planning.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Silvr Bear Luxury Satin Scrunchies for Women/Girls SAME 5 COLORS AS PIC | Anti-Hair-Breakage, Hair Ties, Scrunchies Set fo...","[""Fashion""]",https://m.media-amazon.com/images/I/81VHXwsLHHL._AC_UL320_.jpg,4.5,111204,"A set of 5 luxury satin scrunchies designed to prevent hair breakage, ensuring a soft and stylish hold for all hair types.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
INOVERA (LABEL) Women Handbag,"[""Fashion""]",https://m.media-amazon.com/images/I/71Raw8VUk5L._AC_UL320_.jpg,4.1,370495,"A trendy and spacious handbag for women, offering durability and a chic design suitable for daily and formal use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
GTA 5 (FULL PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY IN 2 HRS ‎ ‎,"[""Fashion""]",https://m.media-amazon.com/images/I/71hI288MGDL._AC_UL320_.jpg,,370495,Detailed description not available.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"L'Oréal Paris Revitalift Serum, Hydrating and Plumping, With 1.5% Hyaluronic Acid, 15ml","[""Fashion""]",https://m.media-amazon.com/images/I/41weqnSL2wL._AC_UL320_.jpg,4.2,92485,"A deeply hydrating and plumping serum infused with 1.5% hyaluronic acid, reducing fine lines and improving skin elasticity.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"MILTON Helix 1000 Pet Water Bottle, Set of 4, 1 Litre Each, Assorted | BPA Free | 100% Leak Proof | Office Bottle | Gym Bo...","[""Fashion""]",https://m.media-amazon.com/images/I/818EOU7f4PS._AC_UL320_.jpg,4.0,100084,"A set of 4 Milton Helix 1L PET water bottles, BPA-free and 100% leak-proof, ideal for office, gym, and travel use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,"[""Fashion""]",https://m.media-amazon.com/images/I/81GEhSSrjKL._AC_UL320_.jpg,4.2,14827,"A fun and educational coloring book for kids aged 1-6, designed to enhance creativity and motor skills with engaging illustrations.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Black)","[""Fashion""]",https://m.media-amazon.com/images/I/613W4OWbuaS._AC_UL320_.jpg,,1311837,"Noise-reducing earmuffs that provide excellent hearing protection in loud environments, suitable for workers, shooters, and general use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Fastrack Analog Black Dial Unisex-Adult Watch-38024PP25,"[""Fashion""]",https://m.media-amazon.com/images/I/61FFBTzKiUL._AC_UL320_.jpg,4.2,157539,"A stylish unisex analog watch from Fastrack with a black dial and a durable strap, perfect for casual wear.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"[""Fashion""]",https://m.media-amazon.com/images/I/81KEKEDFUcL._AC_UL320_.jpg,4.1,426282,"A sleek and spacious 32-liter backpack from American Tourister, featuring a durable design suitable for school, college, and travel.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,"[""Fashion""]",https://m.media-amazon.com/images/I/61jskHpc6FL._AC_UL320_.jpg,4.2,92670,"A transparent jewelry organizer with 36 compartments, perfect for storing rings, earrings, and small accessories in an organized manner.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
BATA Women's Kafi Slipper,"[""Fashion""]",https://m.media-amazon.com/images/I/71XsK-tzvRS._AC_UL320_.jpg,3.9,111019,"A stylish and comfortable slipper from BATA, designed for everyday wear with a soft sole for added comfort.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml | Pure Coconut Milk, 100% Natural, 72h Moistu...","[""Fashion""]",https://m.media-amazon.com/images/I/51cwzZAh0qL._AC_UL320_.jpg,4.2,55417,"A deeply nourishing body lotion enriched with pure coconut milk, providing 72-hour moisture for dry skin.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Beardo Beard & Hair Growth Oil for thicker, longer beard | For patchy, uneven beard | Beard Oil for fast beard growth | Na...","[""Fashion""]",https://m.media-amazon.com/images/I/61FIk2+alhL._AC_UL320_.jpg,3.7,139005,"A premium beard growth oil formulated for thicker and longer beard growth, ideal for patchy and uneven beard care.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Tote Bag, Backpack Bag Home Storage Tool Large Capacity for Birthdays(AA802)","[""Fashion""]",https://m.media-amazon.com/images/I/71bt6n8V3rL._AC_UL320_.jpg,,733576,"A spacious and versatile tote bag that doubles as a backpack, perfect for home storage or daily use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Very First Sight Words Sentences Level 1,"[""Fashion""]",https://m.media-amazon.com/images/I/91+36GLYWYL._AC_UL320_.jpg,4.5,37068,An engaging learning book designed to introduce young readers to basic sight words through simple sentences.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Razer Anzu Smart Glasses: Blue Light Filtering & Polarized Sunglass Lenses - Low Latency Audio - Built-in Mic & Speakers -...,"[""Fashion""]",https://m.media-amazon.com/images/I/41WVbPJh4sL._AC_UL320_.jpg,3.9,5558347,"High-tech smart glasses featuring blue light filtering, polarized lenses, and built-in audio for a seamless experience.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Urban Forest Oliver Redwood RFID Blocking Leather Wallet for Men,"[""Fashion""]",https://m.media-amazon.com/images/I/81t8p9YNZJL._AC_UL320_.jpg,4.3,370680,"A sleek and stylish RFID-blocking leather wallet, offering security and elegance for modern men.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
ANZAILALA Ring Size Adjuster for Loose Rings - 4 Sizes Clear Ring Sizer Resizer Fit Spiral Silicone Tightener Set(4 Pcs),"[""Fashion""]",https://m.media-amazon.com/images/I/61DJZr11BUL._AC_UL320_.jpg,4.2,185155,"A set of 4 clear silicone ring size adjusters, providing a secure fit for loose rings.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Cherry Blossom Wax Shoe Polish Black - 40gm | Leather Shoe Shiner,"[""Fashion""]",https://m.media-amazon.com/images/I/51NrPiibykS._AC_UL320_.jpg,4.3,14086,A high-quality black wax shoe polish that restores shine and protects leather footwear.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Bella Vita Luxury Women's Perfume Gift Set 4x20 ML | Luxury Scent with Long Lasting Fragrance Eau De Parfum | CEO Woman | ...,"[""Fashion""]",https://m.media-amazon.com/images/I/61Lf31rBHiL._AC_UL320_.jpg,4.2,157354,"A luxury women's perfume gift set with four long-lasting fragrances, perfect for any occasion.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...","[""Fashion""]",https://m.media-amazon.com/images/I/51DGcy8eBCL._AC_UL320_.jpg,3.9,230748,"A durable stainless steel electric kettle with a 1.5-liter capacity, ideal for boiling water and making beverages.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"[""Fashion""]",https://m.media-amazon.com/images/I/7122h3jWvEL._AC_UL320_.jpg,4.4,14827,A collection of 31 colorful fairy tale stories designed to teach moral values to young children.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"[""Fashion""]",https://m.media-amazon.com/images/I/811AxL+qTpL._AC_UL320_.jpg,4.3,222223,"A durable and stylish waterproof laptop backpack, perfect for work, school, or travel.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
LEDO Men's and Women's Watch Box Holder Organizer Case In 12 Slots of watches In PU Leather with Royal Black color,"[""Fashion""]",https://m.media-amazon.com/images/I/51Pnypc-w7L._AC_UL320_.jpg,4.4,741175,"A premium PU leather watch organizer case with 12 slots, ideal for both men and women.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
FONHCOO Kids Blue Light Blocking Glasses Computer Glasses for Boys and Girls Age 3-15 with Glasses Strap,"[""Fashion""]",https://m.media-amazon.com/images/I/61X8LY0FWxL._AC_UL320_.jpg,4.6,926515,"Blue light blocking glasses designed for kids, reducing eye strain from screens with a secure strap.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Boldfit Head Band for Man Sports Head Bandana for Men & Women Gym Hair Band for Men Workout, Running - Breathable, Non-Sli...","[""Fashion""]",https://m.media-amazon.com/images/I/91MDsp3gyCL._AC_UL320_.jpg,3.9,92485,"A breathable and non-slip sports headband, perfect for workouts, running, and gym use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Mortein Insta5 Mosquito Repellent Liquid Refill - 45ml x 6 (Buy 4 Get 2 Free) | 100% Protection from Dengue Mosquitoes, Pa...","[""Fashion""]",https://m.media-amazon.com/images/I/61LTT8lFahL._AC_UL320_.jpg,4.0,57085,A mosquito repellent refill providing 100% protection from dengue mosquitoes with instant action.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Colorbar Nail Polish Remover, 110ml","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/615XARbwNnL._AC_UL320_.jpg,4.5,26874,A gentle yet effective nail polish remover that quickly cleans nails without drying them out.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC) - NO CD/CD,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yy7hRlU5L._AC_UL320_.jpg,,370495,"A digital version of GTA 5 (PC) with email delivery, excluding online multiplayer and activation code.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Solar System Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91CVtALiGmL._AC_UL320_.jpg,4.3,34288,"A vibrant, laminated educational wall chart displaying the solar system, perfect for young learners.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
SWADESI STUFF Black Dial Brown Leather Strap Stylish Analog Watch for Men,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81HcHLv1JAL._AC_UL320_.jpg,3.9,185340,"A stylish analog watch featuring a black dial and brown leather strap, perfect for casual wear.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Bangalore Refinery 24k (999.9) 2 gm Yellow Gold Bar,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61aRW4bh6UL._AC_UL320_.jpg,4.6,2446488,"A pure 24k (999.9) gold bar weighing 2 grams, ideal for investment or gifting.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ydpWFY-gL._AC_UL320_.jpg,4.3,65240,"A set of 2 durable and lightweight 1L plastic water bottles, ideal for sports and daily use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
crocs unisex-adult Bayaband Clog Clog,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61LCRvTH7BL._AC_UL320_.jpg,4.1,0,"A comfortable and stylish unisex clog from Crocs, featuring a lightweight and breathable design.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"ADAMO Digital Dial Stylish and Fashionable Wrist Smart Watch LED Band for Kids, Colorful Cartoon Character Super Hero Wate...","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61NFr1xspjL._AC_UL320_.jpg,3.0,184413,"A fun and stylish LED smartwatch with cartoon character designs, perfect for kids.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6144hnfQ3UL._AC_UL320_.jpg,4.4,433510,A trendy and spacious unicorn-themed school bag designed for girls with multiple compartments.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Thrillz Silver Chain For Boys Silver Plated Chains For Boys Men Jewellery Alloy Silver Chain Mens Jewellery Necklace Chain...,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YjXtPHFuL._AC_UL320_.jpg,3.6,185155,"A stylish silver-plated chain for boys and men, crafted with high-quality alloy for a sleek look.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Kids Board books- My First Library : Set of 10 Board Books (Box Set),"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QQdcAX20L._AC_UL320_.jpg,4.4,166806,"A box set of 10 engaging board books, designed to introduce early learning concepts to young children.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown),"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61qbtDsPOoL._AC_UL320_.jpg,3.8,92485,"A durable door bottom sealing strip designed to prevent dust, insects, and cold air from entering.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"NAVYSPORT Originals Unisex Casual Cushion Cotton Ankle Socks, Assorted Combo, Pack of 4, Free Size","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91DaQv7BQqL._AC_UL320_.jpg,4.1,148087,"A pack of 4 comfortable and cushioned cotton ankle socks, perfect for casual wear.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Ortho Joy Arch Support Gel Insoles for Walking, Sports |All Day Comfort Full Length Orthotics for Flat Feet, High Arch, Fo...","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61BYUOeymAL._AC_UL320_.jpg,3.9,109351,Full-length gel insoles offering arch support and enhanced comfort for walking and sports activities.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Kraasa Casual Lace Up Sneaker, Men Casual Shoes","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61q9kJgxAHL._AC_UL320_.jpg,3.4,185155,"A stylish and comfortable casual sneaker with a lace-up design, perfect for everyday wear.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
American Tourister 78 cms Polypropylene Luggage- Suitcase(FO1 (0) 01 403_Highline Blue),"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81w20LvtPlL._AC_UL320_.jpg,4.2,1630992,"A durable and spacious polypropylene suitcase from American Tourister, ideal for travel.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Minimalist 2% Alpha Arbutin Serum for Pigmentation & Dark Spots Removal | Anti-pigmentation Face Serum For Men & Women wit...,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71k99aFH6CL._AC_UL320_.jpg,4.1,101752,A powerful serum formulated with 2% alpha arbutin to reduce pigmentation and dark spots.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Fashion Frill Exclusive Pendant For Girls Infinite/Infinity Gold Plated Chain Necklace For Women Girls Women's Jewellery G...,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61rZGqu7-3L._AC_UL320_.jpg,3.1,185155,A beautiful gold-plated infinity pendant necklace designed for women and girls.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC)…,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yPnQE1OjL._AC_UL320_.jpg,,370495,Detailed description not available.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Sparx Mens Sd0323g Sneakers,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51g6S2XoAcL._AC_UL320_.jpg,4.1,166621,"A trendy and comfortable sneaker from Sparx, perfect for casual and sportswear.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Fruits - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery and Homeschooling (19 inches X 29 inches)","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61juXeiBjML._AC_UL320_.jpg,4.3,19461,Detailed description not available.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"rts Dual USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports w...","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611RCy1XjsL._AC_UL320_.jpg,4.2,926515,Detailed description not available.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Titan Karishma Analog Black Dial Men's Watch-NL1639SM02/NN1639SM02,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71zrkmRGpoL._AC_UL320_.jpg,4.3,369753,A classic Titan Karishma analog watch featuring a sleek black dial and stainless steel strap.,2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61iKv6-unXL._AC_UL320_.jpg,3.6,203689,"A trendy oversized T-shirt made from a soft cotton blend, featuring half sleeves and a vibrant orange color.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
Estele Necklace Set for Women,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6114nKyrk2L._AC_UL320_.jpg,3.5,741175,"An elegant necklace set designed for women, featuring intricate craftsmanship and a stylish finish for any occasion.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Milton Super 1000 Stainless Steel Water Bottle, 1000 ml, Silver | Leak Proof | Office Bottle | Gym Bottle | Home | Kitchen...","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61m9tTS9aLL._AC_UL320_.jpg,3.8,81735,"A durable stainless steel water bottle with a 1L capacity, leak-proof design, and ideal for office, gym, and home use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
crocs Men's Bayaband Flip Flop,"[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61lBMMOpzJL._AC_UL320_.jpg,4.3,555093,"A comfortable and lightweight pair of flip-flops from Crocs, designed for casual wear with a sporty touch.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)","[""Fashion""]",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fBoZgmkCL._AC_UL320_.jpg,4.3,370495,"A sleek anti-theft laptop backpack with a USB charging port, offering 25L capacity and secure storage for daily use.",2025-02-10 01:30:38.319426,2025-02-10 01:30:38.319426
